Car_Name,Year,Selling_Price,Driven_KMs,Fuel_Type,Transmission,Engine_Size_L,Mileage_kmpl
BMW 1 Series,2018,1649777.83,99722,Electric,Manual,0.0,148.9
Mercedes-Benz C-Class,2018,2729057.4,97775,Petrol,Automatic,3.4,6.3
Ford EcoSport,2015,382929.31,148812,Petrol,Automatic,1.6,14.7
Honda City,2020,705814.16,77367,Petrol,Manual,1.9,11.0
Toyota Yaris,2008,120000.0,213801,Diesel,Manual,1.5,
BMW 5 Series,2017,1365487.15,83423,Petrol,Manual,2.7,8.9
Toyota Corolla,2015,345538.15,110939,Diesel,Manual,1.6,15.0
Audi Q5,2012,721955.52,153096,Petrol,Automatic,2.5,13.8
Honda CR-V,2014,277854.96,64216,Petrol,Manual,1.8,8.3
Audi A4,2022,3765949.07,23874,Petrol,Automatic,,11.0
BMW 5 Series,2020,3034816.76,40396,Petrol,Automatic,2.8,8.2
Ford Focus,2010,167737.72,198023,CNG,Manual,2.0,25.8
Honda Accord,2017,396913.56,72621,Petrol,Manual,1.5,10.6
Tata Harrier,2022,564733.85,45322,Diesel,Manual,1.5,16.2
Ford EcoSport,2021,1575648.65,80841,Diesel,Automatic,2.8,14.6
Hyundai i20,2022,553407.86,45183,Petrol,Automatic,1.2,10.5
Ford Mustang,2011,605637.69,149246,Petrol,Automatic,4.0,11.3
Volkswagen Polo,2012,309886.12,78931,Petrol,Automatic,2.1,11.9
Toyota Yaris,2013,234094.2,171582,Petrol,Manual,1.7,12.5
Maruti Suzuki Baleno,2020,351027.39,"46,947 km",Diesel,Manual,1.7,11.3
Toyota Camry,2021,726748.77,35548,Petrol,Automatic,1.5,13.1
Mercedes-Benz E-Class,2019,1871264.32,139529,,Automatic,2.3,11.0
BMW X5,2019,2446251.08,82260,Petrol,Automatic,2.9,11.2
Hyundai Venue,2012,207635.29,61606,  CNG ,Automatic,1.7,23.2
Maruti Suzuki Dzire,2013,120000.0,204794,Diesel,Manual,1.0,11.3
Hyundai i20,2015,315275.91,136781,Diesel,Manual,1.9,15.2
Audi A4,2008,392583.41,188945,Diesel,Automatic,2.3,17.1
Ford Fiesta,2022,1748865.26,53987,Diesel,Manual,2.7,14.3
Hyundai Tucson,2011,120000.0,135888 KM,Diesel,Automatic,1.1,14.6
Maruti Suzuki Baleno,2008,120000.0,226520,Petrol,Automatic,1.6,13.8
Maruti Suzuki Baleno,2024,827891.21,15473,Diesel,Automatic,2.0,13.7
Maruti Suzuki Ertiga  ,2022,471953.43,25556,Petrol,Manual,1.8,14.0
Honda City,2009,245437.47,118173,Electric,Automatic,0.0,146.0
Honda Amaze,2024,909992.16,16585,Petrol,Automatic,1.3,18.5
Mercedes-Benz GLC,2024,2606631.73,23470,Petrol,Manual,2.1,14.8
Honda CR-V,2011,166862.36,174770,  Petrol ,Automatic,1.8,14.1
Toyota Fortuner,2014,233710.34,113904,Diesel,Manual,1.3,15.1
Maruti Suzuki Baleno,2010,120000.0,206404,Petrol,Automatic,1.2,16.9
BMW 5 Series,2014,888624.68,183177,Diesel,Automatic,2.7,13.1
Honda CR-V,2019,505770.1,74889,CNG,Manual,1.8,22.9
Volkswagen Virtus,2024,901906.01,23234,CNG,Manual,1.5,23.8
Tata Nexon,2018,192850.04,107438,Petrol,Manual,1.0,15.9
BMW 5 Series,2011,668653.18,41836,Diesel,Manual,2.5,13.6
Audi Q3,2015,861274.1,237210,Petrol,Automatic,2.1,11.2
Volkswagen Vento,2018,368521.83,130965,Petrol,Manual,1.4,14.1
Mercedes-Benz A-Class,2008,345702.46,232461,Petrol,Manual,2.6,11.5
Honda Amaze,2016,477090.04,110555,Petrol,Automatic,2.1,11.0
Hyundai Verna,2019,384980.85,"85,279 km",Petrol,Manual,1.7,13.0
Maruti Suzuki Dzire,2015,180590.96,191441 KM,Diesel,Automatic,1.8,16.5
Volkswagen Polo,2014,230026.25,161692,,Automatic,1.4,15.5
Mercedes-Benz GLC,2017,1793068.26,49719,Diesel,Automatic,3.0,11.9
Mercedes-Benz GLE,2014,1280034.1,121893,Petrol,Manual,3.3,11.1
Volkswagen Virtus,2009,129917.85,212913,Petrol,Automatic,1.7,11.2
Tata Altroz,2022,331714.05,41591,Petrol,Manual,1.0,10.3
Honda Accord,2012,162228.9,187229,Petrol,Manual,1.5,11.0
Maruti Suzuki Dzire,2020,379626.74,65569,Hybrid,Automatic,1.4,20.8
Hyundai Venue,2021,501229.85,47092,Petrol,Manual,1.3,15.8
Toyota RAV4,2010,120000.0,328702,Petrol,Manual,1.3,11.7
Tata Safari,2016,225531.02,114060,Petrol,Automatic,1.5,13.5
Audi Q3,2012,497314.57,212646,Petrol,Manual,2.0,15.7
Maruti Suzuki Dzire,2020,384663.97,99385,Petrol,Automatic,1.7,13.6
Audi Q5,2014,1075468.82,"187,214 km",Electric,Automatic,0.0,164.6
Honda Accord,2009,120000.0,199963,CNG,Manual,1.6,26.2
Hyundai i20,2014,296463.14,187569,Diesel,Automatic,2.1,14.2
Honda Accord,2024,801975.97,33811,Diesel,Automatic,1.3,13.9
Toyota RAV4,2018,583046.82,44461,Diesel,Manual,1.9,15.1
Ford EcoSport,2022,1501734.78,31369,Diesel,Automatic,2.4,14.5
Tata Punch,2010,120000.0,249061,Petrol,Manual,2.0,12.7
Maruti Suzuki Brezza,2022,385809.36,49387,Diesel,Manual,1.4,10.2
Volkswagen Tiguan,2021,502198.62,96172,Diesel,Manual,1.4,15.9
Tata Altroz,2009,120000.0,201624,Diesel,Manual,1.4,13.8
Tata Nexon,2013,301106.07,129946,Electric,Automatic,0.0,163.3
Audi Q5,2008,434141.36,86134,Diesel,Manual,2.6,11.4
Mercedes-Benz E-Class,2021,3029235.51,60410,Diesel,Automatic,2.3,13.8
Tata Nexon,2019,282679.26,111253,CNG,Automatic,1.3,26.9
Hyundai Creta,2017,362920.69,167940,Petrol,Automatic,1.9,16.9
Hyundai Tucson,2020,468258.63,125625,Petrol,Automatic,1.5,13.9
Volkswagen Tiguan,2010,120000.0,"216,907 km",Petrol,Manual,1.5,15.3
BMW X5,2019,2260033.49,154134,Diesel,Manual,3.1,12.0
Honda Accord,2013,128097.24,108771,Diesel,Automatic,1.0,14.7
BMW 3 Series,2010,551591.97,264589,Diesel,Manual,3.5,6.4
Tata Altroz,2022,670133.47,39777,Diesel,Automatic,1.5,12.3
Honda CR-V,2012,120000.0,239919,Petrol,Automatic,1.0,12.5
Volkswagen Taigun  ,2017,345198.89,170677 KM,Diesel,Manual,1.8,11.8
BMW 1 Series,2019,2089607.19,114302,Diesel,Automatic,2.7,13.4
Honda Civic,2012,328624.34,156410,Electric,Manual,0.0,156.2
Toyota RAV4,2021,979704.18,56608,Diesel,Manual,2.1,14.6
Mercedes-Benz GLE,2013,427282.74,201222,Petrol,Manual,1.6,14.0
Honda Amaze,2008,120000.0,138946,Diesel,Manual,1.7,15.0
Toyota Fortuner,2015,363942.3,156499,Diesel,Automatic,1.6,
Tata Harrier,2009,120000.0,225168,Hybrid,Manual,1.5,23.1
Ford EcoSport,2013,509523.5,186687,Petrol,Automatic,2.8,9.8
Toyota Corolla,2022,486279.5,74060,  Diesel ,Automatic,1.0,18.2
Audi A6,2018,2620908.86,87993,Diesel,Automatic,3.6,12.8
Honda Accord,2019,489669.84,49071 KM,Petrol,Manual,1.5,8.6
BMW X3,2023,4505565.33,36781,Diesel,Automatic,3.1,10.3
Ford Fiesta,2021,832338.49,74517,Petrol,Automatic,1.6,14.3
Tata Safari,2014,120000.0,222669,Diesel,Manual,1.0,16.3
Volkswagen Virtus,2011,233323.0,61699,Petrol,Automatic,1.6,17.3
Volkswagen Vento,2017,639248.5,128031,Electric,Manual,0.0,176.1
Mercedes-Benz E-Class,2011,487154.53,148830,Petrol,Manual,,
BMW X3,2014,824898.07,196872,Diesel,Manual,2.6,13.4
Hyundai Venue  ,2010,131113.32,154642,Petrol,Manual,1.8,14.5
Ford Fiesta,2008,278494.27,119347,Diesel,Manual,2.7,10.6
Honda Accord,2012,206072.6,86249,Petrol,Automatic,1.7,14.1
Honda Accord,2009,131707.2,84763,Petrol,Automatic,1.4,11.6
BMW 1 Series,2022,2847812.52,31667,Petrol,Manual,2.4,13.7
Mercedes-Benz GLE,2015,1503861.2,106944,Petrol,Automatic,2.9,8.9
Audi A6,2015,1062352.98,149069,Diesel,Manual,2.8,10.6
Tata Nexon,2008,120000.0,346154,Petrol,Manual,1.4,14.9
Audi Q5,2012,1022037.19,62975,Petrol,Manual,3.0,12.2
Hyundai Tucson,2021,539522.65,64896,Petrol,Manual,1.6,12.9
Volkswagen Polo,2009,120000.0,259608,Petrol,Automatic,1.5,14.1
Tata Nexon,2020,286236.58,75838,Petrol,Manual,1.1,13.7
Ford EcoSport,2013,205362.01,218887,Petrol,Manual,1.6,8.8
Honda Amaze,2022,708282.69,37900,Hybrid,Manual,1.3,21.0
Ford Focus,2014,402327.57,127444,Petrol,Manual,2.1,12.7
Hyundai i20,2021,649619.09,50695,Petrol,Manual,1.7,13.4
Mercedes-Benz E-Class,2014,1023889.83,188587,Diesel,Manual,2.7,11.7
BMW X5,2011,304633.53,239971,CNG,Manual,1.7,27.0
Volkswagen Taigun,2017,798734.15,137728,Electric,Automatic,0.0,196.5
Volkswagen Virtus,2015,310550.37,162067,Diesel,Automatic,1.4,17.8
Mercedes-Benz A-Class,2012,635662.04,173596,Diesel,Manual,2.4,12.3
Ford Endeavour,2022,2032838.12,24033,Electric,Automatic,0.0,185.1
Maruti Suzuki Baleno,2013,120000.0,162873,Petrol,Manual,1.6,11.0
Volkswagen Taigun,2011,145847.61,265416,Petrol,Automatic,1.5,14.5
Honda CR-V,2017,364924.2,58950,Petrol,Automatic,1.3,9.5
Ford Fiesta,2019,1155218.23,55721,Petrol,Automatic,2.6,11.4
Toyota Fortuner,2016,375654.55,181593,Diesel,Automatic,1.6,13.2
Honda City,2022,453875.74,"31,055 km",Petrol,Automatic,1.0,12.1
BMW 1 Series,2008,449369.73,256926,Diesel,Manual,3.6,12.6
Volkswagen Vento,2023,919620.84,35320,CNG,Automatic,1.6,24.7
Honda CR-V,2017,543841.55,141206,Diesel,Automatic,2.0,9.6
Volkswagen Virtus,2024,1123592.06,35027,Petrol,Automatic,1.5,14.3
Audi Q3,2012,745502.15,196042,Petrol,Manual,3.2,8.9
Ford Mustang,2014,555295.38,145871,Diesel,Automatic,2.3,17.1
Maruti Suzuki Baleno,2024,586247.58,30346,Diesel,Manual,1.8,17.0
Toyota Corolla,2024,1190164.84,26101,Diesel,Automatic,1.4,17.6
Audi Q5,2018,2382529.1,61042,Diesel,Automatic,2.7,16.0
Hyundai Venue,2017,291842.31,75105,CNG,Manual,1.7,15.9
BMW X5,2013,686128.69,110262,Diesel,Manual,2.3,15.0
Maruti Suzuki Baleno,2023,346300.09,34528,Petrol,Manual,1.2,13.9
Ford EcoSport,2018,552250.42,68489,Petrol,Manual,1.6,13.0
Volkswagen Vento,2019,519377.84,93980,Diesel,Automatic,1.5,15.9
BMW 3 Series,2019,1665321.66,73889,  Petrol ,Manual,2.2,10.7
Honda Accord,2018,526178.6,73258,Petrol,Automatic,2.3,9.3
BMW 1 Series,2009,575728.71,193198,Diesel,Manual,3.5,9.6
Hyundai i20,2024,779464.73,15854,Petrol,Manual,1.3,13.6
Maruti Suzuki Ertiga,2022,377913.24,30530,  CNG ,Automatic,1.4,23.8
Audi Q5,2018,3094257.8,91980,Diesel,Automatic,4.4,11.0
Ford Fiesta,2015,474133.52,167255,Diesel,Manual,2.5,11.3
Hyundai Venue,2010,146289.79,335359,  Electric ,Manual,0.0,158.1
BMW X5,2013,1018074.11,126029,Hybrid,Automatic,2.7,21.9
Audi A6,2012,782596.31,198031,Diesel,Manual,3.2,12.0
Tata Altroz,2013,174230.99,66207,Diesel,Automatic,1.4,17.8
Hyundai Tucson,2023,510989.46,31657,Diesel,Automatic,1.0,15.2
Honda City,2018,513654.39,85933,Diesel,Automatic,1.8,14.4
Honda City,2010,121166.82,206569,Diesel,Manual,1.6,16.0
Mercedes-Benz GLC,2011,475914.32,167387 KM,CNG,Manual,2.1,28.3
Toyota Corolla,2010,128537.39,241849,Petrol,Automatic,1.6,9.7
Ford Fiesta,2015,455976.91,186103,  Petrol ,Manual,2.4,10.6
Hyundai i20,2017,319123.4,109995,Diesel,Automatic,1.3,
Tata Altroz,2022,314067.6,59123,Petrol,Manual,1.0,
Maruti Suzuki Baleno,2016,127014.4,163925,Petrol,Manual,1.5,11.9
Honda Amaze,2012,201061.85,161304,Petrol,Manual,2.0,12.1
Audi Q5,2021,3273762.32,62359,Diesel,Automatic,2.6,16.0
Ford Mustang,2011,388121.2,143565,Diesel,Manual,2.9,8.7
Honda Civic,2019,396276.97,71499,Diesel,Automatic,1.4,12.4
Hyundai i20,2023,655127.65,41494,Petrol,Manual,1.4,12.0
Audi A4,2016,1824102.2,131277,CNG,Manual,4.1,24.6
Mercedes-Benz A-Class,2018,2456147.34,77857,Petrol,Manual,3.4,10.7
Toyota Yaris,2014,216786.68,180725,Hybrid,Automatic,1.2,24.0
Toyota Fortuner,2012,176521.72,170641,Petrol,Manual,1.5,11.7
Tata Harrier,2009,176247.05,136157,Electric,Automatic,0.0,169.0
BMW 5 Series,2013,792082.31,185486,CNG,Automatic,2.8,28.7
BMW 1 Series,2024,2788354.44,29658,Petrol,Manual,2.0,10.5
Tata Punch,2013,134307.41,169138,Diesel,Manual,1.7,13.2
Tata Altroz,2008,120000.0,239124,Diesel,Manual,1.9,13.9
Volkswagen Virtus,2010,120000.0,151695,Petrol,Manual,1.0,17.2
Audi A4,2011,572288.94,121964,Petrol,Automatic,2.1,11.6
Volkswagen Tiguan,2013,253650.99,146040,Diesel,Manual,1.7,13.9
Toyota Yaris,2020,559446.72,118263,Diesel,Manual,1.6,13.8
Mercedes-Benz GLC,2010,401866.14,143863,Petrol,Manual,1.7,13.6
Maruti Suzuki Ertiga,2010,120000.0,224068,Petrol,Automatic,1.0,12.2
Audi A4,2012,652229.78,213600,Diesel,Manual,2.8,15.5
Audi A3,2018,1081559.98,95713,Diesel,Manual,1.6,14.8
Ford EcoSport,2011,226950.1,241479,Petrol,Manual,2.1,18.1
Honda Accord,2022,916795.96,63299,Diesel,Automatic,1.6,14.5
Mercedes-Benz E-Class,2018,1985993.64,129988,,Manual,3.4,27.0
Hyundai i20,2015,315998.59,171358,Hybrid,Manual,2.0,22.5
Hyundai Verna,2015,350710.91,99141,,Automatic,1.8,14.0
Hyundai i20,2013,159982.46,222218,Petrol,Manual,1.7,12.2
Honda City  ,2020,525117.97,89637,Diesel,Manual,1.4,14.3
Toyota Corolla,2020,702198.52,55727,Diesel,Manual,1.6,14.8
Volkswagen Vento,2011,120000.0,225281,Diesel,Manual,1.2,16.7
Ford Fiesta,2015,705974.04,103207,Petrol,Manual,3.3,8.4
Toyota Corolla,2024,1267052.87,12477,Diesel,Manual,1.8,16.7
Hyundai Creta,2009,120000.0,199228,Petrol,Automatic,1.3,12.9
Hyundai Venue,2024,1129126.21,17314,Diesel,Manual,,12.4
Toyota Fortuner,2022,1448737.11,77324,Electric,Manual,0.0,111.5
Tata Safari,2022,510674.66,41760,Petrol,Automatic,1.4,15.9
Audi Q3,2008,564093.87,207628,Diesel,Automatic,3.4,11.5
Audi A4,2011,657017.98,208302,Petrol,Manual,3.1,12.8
BMW 5 Series,2024,3261436.27,5108,Petrol,Manual,2.1,16.6
Maruti Suzuki Ertiga,2018,246655.38,72093,CNG,Manual,1.9,23.0
Audi A3,2017,1684946.58,93979,Diesel,Automatic,2.3,13.6
Ford Mustang,2019,923761.89,86113,Petrol,Manual,2.6,11.3
Audi Q3,2011,734364.19,191060,Electric,Automatic,0.0,145.9
Volkswagen Virtus,2015,572033.88,134581,Electric,Automatic,0.0,147.7
Volkswagen Polo,2017,334385.34,110562,Petrol,Manual,1.4,15.4
Ford Focus,2022,1805833.99,42923,Petrol,Automatic,2.8,10.4
Audi Q3,2009,356718.0,173591,Petrol,Manual,2.2,13.3
Honda City,2021,561148.67,40676,Petrol,Manual,1.4,13.9
BMW 3 Series,2013,937569.69,178060,Diesel,Automatic,2.7,12.7
Honda City,2015,185023.7,170950,Petrol,Manual,1.2,16.0
Audi A3,2019,1120182.23,98115,Petrol,Manual,1.8,13.7
Maruti Suzuki Baleno,2015,142399.32,98293,  CNG ,Automatic,1.5,22.5
Tata Safari  ,2009,120000.0,171968,Hybrid,Manual,1.6,25.5
Hyundai i20,2024,1046954.23,"16,217 km",Petrol,Manual,1.9,11.7
BMW 5 Series,2008,636357.52,128881,Petrol,Automatic,2.9,11.3
Volkswagen Tiguan,2020,817482.43,61681,Petrol,Automatic,1.9,6.0
Tata Safari,2023,380343.17,39665,CNG,Manual,1.1,27.8
Maruti Suzuki Ertiga,2011,120000.0,202736,Diesel,Automatic,1.2,17.7
BMW 1 Series,2016,673605.85,96520,Petrol,Manual,1.6,10.6
Hyundai i20,2022,687010.87,"74,143 km",Petrol,Manual,1.7,11.6
BMW 3 Series,2023,3251953.81,"42,967 km",CNG,Manual,2.6,22.2
BMW 3 Series,2023,2566050.33,43578 KM,Petrol,Manual,2.0,14.8
Ford Mustang,2012,267106.2,55635,Petrol,Manual,1.6,15.0
Audi A4,2022,2580304.02,54792,Diesel,Automatic,2.2,14.7
Ford Fiesta,2010,218307.71,161655,Petrol,Automatic,1.8,8.6
Volkswagen Virtus,2011,120000.0,165707,Petrol,Manual,,15.2
Hyundai Venue,2008,120000.0,240979,Petrol,Manual,1.5,14.2
Mercedes-Benz E-Class,2012,611870.51,169677,Petrol,Manual,2.5,10.0
Toyota Corolla,2012,199682.05,133208,Diesel,Manual,1.4,13.0
Honda Accord,2008,120000.0,256422,Diesel,Automatic,1.1,14.8
Honda City,2016,292983.64,73896,Hybrid,Manual,1.3,
Volkswagen Virtus,2016,347159.69,103981,Petrol,Manual,1.6,13.0
Audi A6,2018,2250699.58,142300,Diesel,Manual,3.8,8.6
Honda Amaze,2009,120000.0,335407,Diesel,Manual,1.0,19.5
Honda Amaze  ,2011,226744.64,210655,Electric,Manual,0.0,167.8
Honda Civic,2020,358692.01,85659,Petrol,Manual,1.0,13.9
Volkswagen Polo,2017,340871.52,113249,Petrol,Manual,1.4,12.9
Ford Fiesta,2016,817552.9,72742,Petrol,Automatic,,12.7
BMW X5,2022,1862479.98,48040,Petrol,Manual,1.8,9.6
Toyota RAV4,2023,1199909.74,33749,Petrol,Automatic,1.6,13.2
Maruti Suzuki Dzire,2021,481167.98,34221,Petrol,Automatic,1.7,11.4
Toyota Yaris,2016,552152.33,116975,Petrol,Automatic,1.8,13.3
BMW X5,2009,610558.43,129290,Diesel,Automatic,2.5,9.7
Audi Q5,2022,3325280.92,53286,Petrol,Automatic,2.5,11.2
Hyundai i20,2011,139335.66,176930,Petrol,Manual,1.7,8.3
Volkswagen Virtus,2020,597728.11,79314 KM,Petrol,Automatic,1.5,8.6
Hyundai Venue,2010,120000.0,209011 KM,Petrol,Manual,1.2,12.6
Tata Nexon,2022,408329.91,58973,Diesel,Manual,1.2,19.1
Volkswagen Virtus,2011,153280.7,130290,Petrol,Manual,1.6,11.2
Audi Q5,2015,1202738.07,141878,Hybrid,Manual,2.8,26.3
Honda CR-V,2020,635382.91,51136,CNG,Automatic,1.7,21.2
Mercedes-Benz E-Class,2024,3827456.93,11813,Petrol,Manual,2.4,11.7
BMW X3,2023,2855845.16,49727,Petrol,Automatic,2.0,12.7
Hyundai Tucson,2016,256744.62,160906,Diesel,Manual,1.4,15.2
Honda CR-V,2023,659018.54,21513,Petrol,Manual,1.2,14.9
Ford Mustang,2024,1542502.19,28033,Petrol,Manual,2.3,10.0
Mercedes-Benz GLE,2018,1416100.25,100699,Diesel,Automatic,1.6,15.3
Tata Altroz,2015,120000.0,149359,Petrol,Manual,1.0,15.5
Tata Altroz,2013,211251.31,187842,Diesel,Automatic,2.0,15.6
BMW 1 Series,2017,1043160.81,149143,Petrol,Manual,2.0,
Volkswagen Virtus,2018,474240.91,78179,Petrol,Manual,1.6,13.8
Toyota Corolla,2022,1011739.63,25832,Diesel,Automatic,1.5,17.6
Mercedes-Benz E-Class,2014,774061.19,158556,Diesel,Automatic,1.7,15.9
Ford Focus,2008,139983.28,244276,Petrol,Manual,2.3,11.5
Maruti Suzuki Dzire,2015,186962.81,"107,601 km",Diesel,Manual,1.8,15.9
Audi Q3,2019,2384596.91,91248,Petrol,Automatic,2.7,9.6
BMW X3,2013,672308.11,114622,Petrol,Automatic,2.1,11.9
Volkswagen Tiguan,2010,142323.14,299111,Diesel,Automatic,2.0,13.0
Hyundai i20,2021,387834.06,62132,Petrol,Automatic,1.3,12.8
Audi A4,2017,1703877.28,93375,Diesel,Automatic,2.5,15.3
BMW X5,2012,645420.42,248585,Petrol,Automatic,2.4,10.5
Maruti Suzuki Brezza,2022,522365.22,32423,Diesel,Automatic,1.6,10.7
Maruti Suzuki Baleno,2020,387263.58,79090,Petrol,Automatic,1.6,16.3
Maruti Suzuki Dzire,2015,138219.1,164482,Petrol,Manual,1.6,10.6
Maruti Suzuki Dzire,2016,290013.65,132962,Hybrid,Manual,2.3,21.9
BMW X5,2014,905673.94,159712,Petrol,Manual,2.9,6.5
Volkswagen Vento,2013,341557.02,199368,Electric,Manual,0.0,151.8
Maruti Suzuki Ertiga,2017,162797.7,116690,Petrol,Manual,1.4,12.1
Maruti Suzuki Baleno,2018,204370.56,97304,Diesel,Automatic,1.2,
Hyundai Tucson,2023,769861.59,43333,Petrol,Automatic,1.6,11.3
Audi A3,2023,2702614.44,27615,Diesel,Automatic,1.7,17.6
Maruti Suzuki Brezza,2020,323861.36,75455,Diesel,Manual,1.9,13.5
Ford Endeavour,2015,532719.37,135809,Petrol,Automatic,,11.5
Audi Q5,2014,1204081.7,126071,Electric,Automatic,0.0,164.6
Audi A6,2023,4266935.49,38934,Petrol,Automatic,3.2,8.9
Hyundai Verna,2010,184231.69,295584,Electric,Manual,0.0,205.3
Volkswagen Vento,2024,1292773.36,17087,Diesel,Automatic,1.7,13.2
Volkswagen Vento,2020,1358835.07,99835,Electric,Automatic,0.0,172.1
Honda Amaze,2021,551707.76,51819,CNG,Manual,1.5,26.3
Volkswagen Virtus,2008,120000.0,257537,CNG,Automatic,1.3,17.9
Maruti Suzuki Dzire,2019,258620.66,115938,  Petrol ,Automatic,1.5,13.7
Volkswagen Taigun,2015,468966.51,178296,Electric,Manual,0.0,174.9
Hyundai Verna,2015,365201.36,197684,,Manual,0.0,177.4
Mercedes-Benz A-Class,2011,655903.38,76173,Petrol,Automatic,2.2,15.5
Hyundai Verna,2010,120000.0,194221,Petrol,Manual,1.0,11.2
Tata Altroz,2021,356341.82,72163,Petrol,Automatic,1.1,12.1
Tata Punch,2019,446725.91,80350,Petrol,Manual,1.9,10.0
Tata Harrier,2010,120000.0,287596,Petrol,Manual,1.6,9.1
Tata Punch,2012,120000.0,124235,,Manual,1.0,14.1
Hyundai Verna,2017,271156.64,124836,Petrol,Manual,1.6,11.0
Audi A3,2012,690951.89,199147,Petrol,Automatic,2.4,7.7
Audi Q5,2016,1197717.96,97780,Petrol,Automatic,2.2,11.9
Tata Harrier,2017,292419.63,38181,CNG,Automatic,1.6,27.5
Toyota Camry,2020,750266.03,67864,Petrol,Manual,1.9,9.6
Toyota Yaris,2010,164645.2,180253,Petrol,Automatic,1.6,14.1
Volkswagen Virtus,2013,197047.06,174619,Petrol,Automatic,1.5,13.3
Hyundai i20,2022,562252.48,47754,Diesel,Manual,1.4,17.5
Maruti Suzuki Ertiga,2024,1066036.67,33169,Electric,Automatic,0.0,199.1
Ford Endeavour,2023,1382192.49,"21,940 km",CNG,Manual,2.1,24.5
Audi Q3,2016,1318724.53,90042,Petrol,Automatic,2.5,9.0
Audi A6,2012,545595.73,213775,Diesel,Manual,2.3,13.9
Audi A6,2022,3872378.81,22167,Diesel,Manual,2.9,12.0
BMW X3,2008,353732.61,218944,Petrol,Automatic,2.1,14.4
Toyota RAV4,2016,267155.62,157482,Petrol,Manual,1.4,13.2
Maruti Suzuki Swift,2017,391952.7,80401 KM,Electric,Manual,0.0,137.3
Hyundai i20,2018,282407.28,66075,CNG,Automatic,1.2,21.1
Hyundai Verna,2010,120000.0,186815,Petrol,Automatic,1.1,10.3
